day,section,8-9,9-10,10-11,11-12,12-1,1-2,2-3,3-4,4-5,5-6
tuesday,CSE-55,X,X,X,X,DSS,OOPJ,X,OS,STW,COA
wednesday,CSE-55,X,X,X,DBMS,COA,OS,X,X,VT(L),VT(L)
thursday,CSE-55,X,X,X,DSS,DBMS(L),DBMS(L),X,STW,DBMS,OOPJ
friday,CSE-55,X,X,X,DSS,OOPJ(L),OOPJ(L),X,COA,STW,OOPJ
saturday,CSE-55,X,X,X,X,X,X,X,X,X,X
monday,IT-1,X,X,X,DSS,OS(L),OS(L),X,ITC,IND4,EECO
tuesday,IT-1,X,OS,DBMS,X,X,X,X,EECO,DSS,X
wednesday,IT-1,X,X,X,X,X,X,X,X,X,X
thursday,IT-1,X,X,X,DBMS,EECO,OS,X,DSS,IND4,ITC
friday,IT-1,X,X,X,X,VT(L),VT(L),X,DSS,DBMS,ITC
saturday,IT-1,X,X,X,OS,DBMS(L),DBMS(L),X,X,X,X
monday,IT-2,DSS,ITC,EECO,X,VT(L),VT(L),X,X,X,X
tuesday,IT-2,X,ITC,DSS,OS,DBMS,EECO,X,X,X,X
wednesday,IT-2,DSS,DBMS,OS,X,X,X,DBMS(L),DBMS(L),IND4,X
thursday,IT-2,X,X,X,X,X,X,X,X,X,X
friday,IT-2,DSS,OS,IND4,EECO,OS(L),OS(L),X,X,X,X
saturday,IT-2,ITC,DBMS,X,X,X,X,X,X,X,X
monday,IT-3,X,X,X,IND4,OS(L),OS(L),X,EECO,DSS,X
tuesday,IT-3,X,X,X,ITC,OS,EECO,X,DSS,IND4,DBMS
wednesday,IT-3,X,X,X,DSS,OS,X,X,X,VT(L),VT(L)
thursday,IT-3,X,EECO,ITC,X,X,X,X,DBMS,DSS,X
friday,IT-3,X,X,X,X,X,X,X,X,X,X
saturday,IT-3,X,X,X,ITC,DBMS(L),DBMS(L),X,OS,DBMS,X
monday,IT-4,DSS,OS,ITC,EECO,OS(L),OS(L),X,X,X,X
tuesday,IT-4,X,EECO,IND4,X,VT(L),VT(L),X,X,X,X
wednesday,IT-4,X,IND4,EECO,ITC,DBMS,DSS,X,X,X,X
thursday,IT-4,X,ITC,OS,DSS,DBMS,X,X,X,X,X
friday,IT-4,X,OS,DBMS,X,X,X,DBMS(L),DBMS(L),DSS,X
saturday,IT-4,X,X,X,X,X,X,X,X,X,X
monday,IT-5,X,X,X,X,X,X,X,X,X,X
tuesday,IT-5,X,X,X,DSS,EECO,X,X,OS,X,X
wednesday,IT-5,X,X,X,IND4,DBMS,ITC,X,DSS,DBMS(L),DBMS(L)
thursday,IT-5,X,X,X,X,VT(L),VT(L),X,EECO,ITC,DSS
friday,IT-5,X,X,X,IND4,ITC,DBMS,X,EECO,DSS,OS
saturday,IT-5,X,DBMS,OS,X,X,X,OS(L),OS(L),X,X
monday,CSCE-1,X,VT(L),VT(L),X,X,X,DSS,EECO,OOPJ,IS
tuesday,CSCE-1,X,X,X,X,X,X,X,X,X,X
wednesday,CSCE-1,X,X,X,OS,DBMS,DSS,X,EECO,OOPJ,X
thursday,CSCE-1,X,X,X,X,DSS,IS,X,OOPJ,EECO,OS
friday,CSCE-1,X,X,X,DSS,OS(L),OS(L),X,DBMS,OOPJ(L),OOPJ(L)
saturday,CSCE-1,X,X,X,IS,DBMS,X,X,OS,DBMS(L),DBMS(L)
monday,CSCE-2,X,DSS,IS,DBMS,OOPJ,EECO,X,X,X,X
tuesday,CSCE-2,X,VT(L),VT(L),X,X,X,OS,DSS,OOPJ,X
wednesday,CSCE-2,X,X,X,X,X,X,X,X,X,X
thursday,CSCE-2,OS,IS,DSS,EECO,OOPJ(L),OOPJ(L),X,X,X,X
friday,CSCE-2,X,DSS,EECO,DBMS,DBMS(L),DBMS(L),X,X,X,X
saturday,CSCE-2,OOPJ,OS(L),OS(L),OS,IS,DBMS,X,X,X,X
monday,CSCE-3,X,X,X,DSS,DBMS,X,X,EECO,IS,X
tuesday,CSCE-3,X,X,X,OOPJ,OS(L),OS(L),X,OS,DSS,EECO
wednesday,CSCE-3,X,VT(L),VT(L),X,X,X,IS,OS,DSS,OOPJ
thursday,CSCE-3,X,X,X,X,X,X,X,X,X,X
friday,CSCE-3,X,X,X,DBMS,IS,EECO,X,DSS,DBMS(L),DBMS(L)
saturday,CSCE-3,X,X,X,OS,OOPJ,X,X,DBMS,OOPJ(L),OOPJ(L)
monday,CSSE-1,X,X,X,X,DBMS(L),DBMS(L),X,PSS,DSS,DBMS
tuesday,CSSE-1,X,X,X,IND4,PSS,EECO,X,DSS,DBMS,OS
wednesday,CSSE-1,X,X,X,EECO,DSS,X,X,IND4,PSS,DBMS
thursday,CSSE-1,X,VT(L),VT(L),X,X,X,EECO,OS,PSS,DSS
friday,CSSE-1,X,X,X,X,X,X,X,X,X,X
saturday,CSSE-1,X,X,X,X,X,X,X,OS,OS(L),OS(L)
monday,CSSE-2,X,PSS,DSS,IND4,X,X,X,X,X,X
tuesday,CSSE-2,DBMS,OS,X,PSS,OS(L),OS(L),X,X,X,X
wednesday,CSSE-2,DSS,DBMS,IND4,EECO,OS,X,X,X,X,X
thursday,CSSE-2,OS,PSS,EECO,DSS,DBMS(L),DBMS(L),X,X,X,X
friday,CSSE-2,X,VT(L),VT(L),X,X,X,EECO,PSS,DSS,DBMS
saturday,CSSE-2,X,X,X,X,X,X,X,X,X,X
