day,section,8-9,9-10,10-11,11-12,12-1,1-2,2-3,3-4,4-5,5-6
thursday,CSE-13,X,X,X,COA,OOPJ,DSS,X,STW,OOPJ(L),OOPJ(L)
friday,CSE-13,X,X,X,COA,STW,DBMS,X,DSS,DBMS(L),DBMS(L)
saturday,CSE-13,X,X,X,OOPJ,X,X,X,COA,DBMS,OS
monday,CSE-14,DSS,OS,OOPJ,COA,OOPJ(L),OOPJ(L),X,X,X,X
tuesday,CSE-14,X,VT(L),VT(L),X,X,X,DBMS,STW,DSS,COA
wednesday,CSE-14,X,X,X,X,X,X,X,X,X,X
thursday,CSE-14,COA,OS(L),OS(L),OS,DBMS,DSS,X,X,X,X
friday,CSE-14,DSS,DBMS(L),DBMS(L),COA,STW,OOPJ,X,X,X,X
saturday,CSE-14,X,X,X,OOPJ,DBMS,OS,X,X,X,X
monday,CSE-15,X,X,X,OS,DSS,COA,X,DBMS,DBMS(L),DBMS(L)
tuesday,CSE-15,X,X,X,OS,STW,DSS,X,COA,OOPJ,DBMS
wednesday,CSE-15,X,VT(L),VT(L),X,X,X,DSS,STW,COA,OS
thursday,CSE-15,X,X,X,X,X,X,X,X,X,X
friday,CSE-15,X,X,X,COA,OOPJ,DBMS,X,DSS,OOPJ(L),OOPJ(L)
saturday,CSE-15,X,X,X,X,X,X,X,OOPJ,OS(L),OS(L)
monday,CSE-16,OS,OOPJ(L),OOPJ(L),DBMS,COA,DSS,X,X,X,X
tuesday,CSE-16,DSS,DBMS(L),DBMS(L),COA,OOPJ,STW,X,X,X,X
wednesday,CSE-16,STW,OOPJ,OS,DBMS,DSS,COA,X,X,X,X
thursday,CSE-16,X,VT(L),VT(L),X,X,X,DSS,COA,DBMS,X
friday,CSE-16,X,X,X,X,X,X,X,X,X,X
saturday,CSE-16,X,OS(L),OS(L),OOPJ,OS,X,X,X,X,X
monday,CSE-17,X,X,X,X,STW,COA,X,DSS,OOPJ(L),OOPJ(L)
tuesday,CSE-17,X,X,X,OOPJ,DSS,DBMS,X,OS,DBMS(L),DBMS(L)
wednesday,CSE-17,X,X,X,OS,STW,DBMS,X,DSS,OOPJ,COA
thursday,CSE-17,X,X,X,OOPJ,COA,X,X,OS,DBMS,DSS
friday,CSE-17,X,VT(L),VT(L),X,X,X,OS(L),OS(L),COA,X
saturday,CSE-17,X,X,X,X,X,X,X,X,X,X
monday,CSE-18,X,X,X,X,X,X,X,X,X,X
tuesday,CSE-18,COA,OS(L),OS(L),OS,DSS,STW,X,X,X,X
wednesday,CSE-18,COA,OOPJ(L),OOPJ(L),OOPJ,DBMS,DSS,X,X,X,X
thursday,CSE-18,DSS,COA,OS,X,VT(L),VT(L),X,X,X,X
friday,CSE-18,OOPJ,STW,OS,DBMS,COA,DSS,X,X,X,X
saturday,CSE-18,X,DBMS,OOPJ,X,X,X,DBMS(L),DBMS(L),X,X
monday,CSE-19,X,VT(L),VT(L),X,X,X,DSS,STW,DBMS,OS
tuesday,CSE-19,X,X,X,X,X,X,X,X,X,X
wednesday,CSE-19,X,X,X,OOPJ,OS,DSS,X,COA,OOPJ(L),OOPJ(L)
thursday,CSE-19,X,X,X,STW,COA,DSS,X,OOPJ,OS(L),OS(L)
friday,CSE-19,X,X,X,DBMS,COA,OS,X,DSS,DBMS(L),DBMS(L)
saturday,CSE-19,X,X,X,X,X,X,X,OOPJ,DBMS,COA
monday,CSE-20,X,DBMS,OS,COA,STW,DSS,X,X,X,X
tuesday,CSE-20,X,VT(L),VT(L),X,X,X,COA,DSS,DBMS,OOPJ
wednesday,CSE-20,X,X,X,X,X,X,X,X,X,X
thursday,CSE-20,COA,OOPJ,STW,DSS,OOPJ(L),OOPJ(L),X,X,X,X
friday,CSE-20,OS,DBMS,COA,DSS,DBMS(L),DBMS(L),X,X,X,X
saturday,CSE-20,X,X,OS,OOPJ,OS(L),OS(L),X,X,X,X
monday,CSE-21,X,X,X,DSS,COA,STW,X,OS,OOPJ(L),OOPJ(L)
tuesday,CSE-21,X,X,X,OS,DBMS,OOPJ,X,STW,DSS,COA
wednesday,CSE-21,X,VT(L),VT(L),X,X,X,STW,COA,DSS,X
thursday,CSE-21,X,X,X,X,X,X,X,X,X,X
friday,CSE-21,X,X,X,OOPJ,COA,DBMS,X,DSS,DBMS(L),DBMS(L)
